timestamp,rssi,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51,sub_52
1779654609.5328743,-59,3.00,25.50,24.84,24.08,23.43,22.80,22.20,22.20,22.20,20.81,20.81,19.42,19.42,19.42,18.60,17.80,17.03,16.28,16.28,15.62,13.60,12.53,12.08,11.40,10.20,9.06,3.00,18.44,17.69,18.44,20.62,21.40,21.63,21.63,22.47,22.83,23.71,23.26,23.26,22.36,22.36,22.36,22.36,21.95,21.63,22.20,22.80,22.67,23.35,24.04,24.04,24.08,24.08
1779654609.5613668,-59,3.00,25.71,25.96,25.96,25.00,25.00,24.35,24.35,23.77,23.77,24.17,23.26,23.26,23.26,23.26,22.85,22.47,22.14,21.84,20.40,20.10,19.03,18.00,17.03,16.28,15.52,3.16,14.32,14.14,15.03,16.00,17.03,18.11,19.24,19.42,20.40,20.62,20.62,20.88,20.62,20.62,20.62,20.40,20.22,21.10,21.02,21.00,22.02,22.02,23.09,24.19,24.33,24.33
1779654609.5964537,-59,3.00,23.71,24.19,24.19,24.70,23.85,24.41,25.00,25.00,24.84,24.84,25.50,25.50,25.50,26.17,26.25,25.61,25.61,25.81,24.70,24.19,23.71,22.85,22.47,21.19,21.59,6.32,8.06,8.06,8.54,9.49,10.44,11.18,12.17,13.04,14.04,14.00,15.00,15.00,15.00,16.00,16.03,16.03,16.12,17.12,17.26,17.46,18.68,19.92,21.19,21.54,21.93,21.93
1779654609.6234782,-58,3.00,23.02,23.00,23.00,23.00,24.02,24.08,23.09,24.19,24.33,24.52,25.50,25.71,26.68,26.68,27.66,27.66,27.46,26.31,26.17,26.08,25.02,24.02,24.08,23.19,23.35,6.32,4.12,5.39,6.32,6.71,7.62,8.94,8.94,10.30,10.82,11.66,13.04,13.04,13.60,14.42,13.89,14.76,14.76,15.65,16.16,17.09,16.76,18.68,19.42,19.42,20.22,21.21
1779654609.6642425,-58,3.00,20.59,21.47,21.47,21.93,21.93,22.47,22.14,23.09,22.80,23.77,23.77,24.74,25.50,25.71,26.68,26.93,27.20,26.25,26.57,26.00,25.50,25.06,24.41,24.21,23.43,5.00,4.12,4.00,4.00,5.10,6.08,7.28,7.28,8.54,9.49,10.44,10.77,11.70,11.70,12.08,12.53,12.53,13.04,13.60,14.21,14.87,15.56,16.28,17.03,17.80,18.60,18.60
1779654609.6870754,-58,3.00,21.54,21.54,21.93,21.93,22.36,22.36,21.95,23.32,23.85,24.41,24.41,25.00,25.00,26.40,27.20,27.46,27.46,27.78,27.29,26.40,26.00,25.30,25.00,24.52,24.33,6.00,6.40,7.07,7.07,7.21,8.06,8.60,9.43,10.30,10.77,11.70,11.70,12.65,12.65,13.60,13.34,13.34,14.14,15.03,15.00,16.00,16.03,17.12,18.25,18.44,19.65,19.65
1779654609.7123573,-57,3.00,21.59,21.84,21.84,21.84,22.14,22.47,22.85,22.85,24.17,24.60,24.60,25.06,25.94,27.29,28.18,27.73,28.23,27.86,28.46,28.16,27.66,26.48,26.17,26.02,25.00,7.00,10.00,10.00,10.30,10.30,10.30,11.66,12.53,12.08,12.08,13.00,14.32,13.93,14.87,14.56,14.56,15.30,15.30,16.12,16.12,17.03,17.00,18.00,19.03,19.10,20.22,20.22
1779654609.740397,-57,3.00,21.95,22.83,22.36,22.85,22.85,23.41,23.09,24.04,24.74,24.52,25.50,26.48,27.46,28.44,29.61,29.83,31.05,30.36,30.68,30.46,29.97,29.53,29.15,28.60,29.21,6.40,14.32,14.14,13.04,14.32,15.52,14.32,13.15,14.04,15.52,16.16,15.23,15.23,16.16,15.65,15.65,15.65,16.64,16.40,17.03,17.80,18.44,19.80,20.52,20.62,21.40,20.81
1779654609.773523,-57,3.00,22.56,23.54,23.35,23.35,23.09,24.02,24.02,25.00,25.08,26.08,26.17,27.17,28.28,29.27,30.15,31.14,32.06,33.02,33.00,33.06,32.14,31.40,31.78,31.05,31.62,8.25,15.62,15.62,15.00,15.81,15.81,16.40,16.40,16.40,16.40,16.40,17.03,17.03,17.03,17.69,16.97,17.69,17.03,17.80,18.03,18.87,19.24,20.12,20.12,20.62,21.54,22.14
1779654609.8032985,-57,3.00,22.85,23.26,23.71,24.19,23.32,23.02,23.60,24.21,25.50,26.17,26.87,27.59,29.00,30.41,31.83,32.53,32.56,33.30,32.65,33.60,32.45,32.76,32.65,33.11,33.24,8.54,17.89,15.65,14.56,15.52,16.55,17.00,17.46,16.76,16.76,17.09,17.09,17.72,17.46,18.44,18.25,18.11,18.03,18.00,18.00,19.03,19.10,19.24,20.40,20.62,21.84,22.14
