timestamp,rssi,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51,sub_52
1779652422.7619562,-53,3.00,21.47,21.47,21.02,21.54,21.19,20.88,21.59,21.38,22.20,22.09,23.02,24.02,25.00,26.00,27.00,28.02,28.07,28.07,28.16,28.44,28.64,27.66,28.16,27.86,27.31,6.71,19.85,20.00,20.00,20.25,21.10,21.10,21.95,21.47,21.47,21.47,21.47,21.47,20.59,20.59,20.25,20.25,19.42,20.00,19.85,19.85,19.80,19.85,20.62,21.40,20.81,21.10
1779652422.7926877,-53,3.00,22.56,21.84,21.84,21.19,21.54,21.93,22.36,23.32,22.47,23.85,24.41,25.00,25.61,27.02,27.80,28.60,29.41,29.41,29.68,30.02,29.07,28.64,29.15,29.41,29.12,8.25,20.22,20.40,20.40,20.62,20.88,20.88,21.19,21.19,21.19,21.54,21.54,21.54,20.62,20.25,19.92,19.65,19.65,20.40,20.22,20.10,20.02,21.00,21.00,21.02,22.09,22.09
1779652422.8237867,-53,3.00,21.84,22.14,21.19,21.54,21.93,21.47,21.95,21.63,22.20,22.80,23.43,24.84,25.50,26.25,26.91,28.43,28.43,28.60,28.84,29.15,28.65,29.07,28.23,28.79,29.12,7.28,20.02,20.10,20.22,20.22,21.38,21.59,21.59,21.59,21.84,21.84,21.84,21.84,21.84,20.62,20.62,20.40,20.40,20.22,20.10,20.02,20.00,21.02,21.02,21.10,21.38,21.38
1779652422.8540301,-53,3.00,24.08,24.19,24.33,24.52,23.77,24.04,24.35,24.70,25.08,25.94,27.29,27.78,27.78,30.02,30.89,31.76,32.65,33.54,32.70,33.24,32.57,32.28,32.02,32.56,32.39,9.06,21.84,22.14,21.54,21.93,22.36,23.71,23.71,22.83,23.32,23.32,23.32,22.83,22.83,22.36,22.36,21.93,21.54,22.14,21.84,21.84,22.56,22.36,23.19,23.09,24.02,24.00
1779652422.8804727,-53,3.00,19.10,18.44,19.21,18.60,18.87,18.36,18.79,19.70,19.31,20.25,20.88,20.88,22.80,23.77,24.04,25.00,25.30,25.63,26.00,25.08,24.60,25.06,24.70,25.00,25.61,6.40,17.89,17.46,17.09,16.76,17.72,17.72,18.44,18.44,18.44,18.44,18.44,18.44,17.46,17.46,17.72,16.76,17.09,17.09,16.55,17.00,16.64,17.20,17.20,17.80,18.44,18.44
1779652422.9133732,-53,3.00,24.70,23.85,24.41,25.00,24.21,24.08,24.76,24.76,26.25,26.40,27.20,28.02,28.84,30.23,30.81,31.40,32.02,32.65,33.30,33.24,33.24,31.89,32.80,32.45,32.76,9.43,23.35,22.36,21.21,22.09,23.02,23.00,24.00,24.02,24.02,24.02,23.02,23.02,23.02,22.00,22.00,22.02,22.09,22.20,22.36,22.56,21.84,23.09,23.09,23.41,24.17,23.26
1779652422.9443464,-53,3.00,18.11,18.25,18.44,18.44,18.68,18.68,18.03,18.38,19.24,19.72,20.25,21.63,21.63,23.02,23.85,24.70,24.70,25.06,25.06,25.08,24.70,25.30,25.00,25.71,25.50,6.08,17.46,17.46,17.72,17.09,18.38,19.70,19.70,19.24,18.79,18.79,19.24,18.36,17.89,17.89,17.46,17.46,18.03,16.76,16.49,17.46,17.26,18.11,18.03,18.03,18.00,19.00
1779652422.9745748,-53,3.00,22.09,22.20,22.20,22.36,21.59,21.84,22.14,22.47,23.77,24.17,24.60,24.60,25.94,27.29,28.18,29.07,29.07,29.97,29.55,30.08,29.41,28.86,29.61,29.27,29.15,8.06,19.92,19.31,19.70,19.70,20.12,20.59,20.59,20.59,21.10,21.10,20.25,21.10,20.25,19.72,20.12,19.70,19.70,19.31,19.92,19.65,19.65,20.40,21.21,21.21,21.02,21.00
1779652423.0045304,-53,3.00,22.83,22.36,21.93,21.93,22.47,22.14,22.80,22.56,23.35,24.19,24.08,25.08,26.08,27.07,28.07,29.15,29.15,29.27,29.43,29.83,30.08,29.41,28.79,29.55,29.53,8.06,20.62,20.62,20.00,20.81,20.25,21.10,21.47,21.47,21.47,21.47,21.47,21.47,20.59,20.59,21.10,20.25,20.81,20.62,19.85,20.52,19.80,20.52,21.26,21.40,21.63,21.63
1779652423.0336037,-53,3.00,19.80,20.52,19.85,19.85,20.00,19.42,20.25,20.59,21.02,21.93,22.47,23.41,23.41,24.70,25.63,26.00,26.00,26.40,26.83,26.42,26.08,25.81,26.40,26.25,26.91,7.07,17.46,17.46,18.38,18.03,18.97,19.92,19.65,19.42,19.42,19.42,19.42,19.42,19.42,18.44,18.68,18.68,18.03,18.38,18.38,18.79,18.36,18.87,19.42,19.42,20.00,20.00
