timestamp,rssi,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51,sub_52
1779652510.5544057,-53,3.00,20.12,20.59,21.47,21.95,22.47,23.02,24.21,24.84,25.50,26.17,26.87,27.59,29.00,31.14,31.83,32.53,33.24,33.30,33.42,32.80,32.45,32.76,31.76,32.20,31.38,7.62,10.20,10.20,10.20,10.20,10.20,9.49,9.49,9.85,9.85,8.94,9.43,8.60,9.22,9.22,8.60,9.43,9.85,10.44,10.20,11.05,12.00,13.04,14.14,15.30,15.52,15.81
1779652510.5587828,-54,3.00,21.93,22.63,22.63,23.35,24.08,24.21,25.00,26.63,27.46,27.78,28.65,29.53,30.41,31.76,32.65,34.00,34.48,34.67,35.23,35.00,34.21,34.06,33.24,33.24,33.30,9.22,9.43,9.43,9.43,8.60,8.60,9.22,9.22,9.22,8.49,9.22,9.43,8.94,8.94,9.49,9.22,10.05,10.00,11.05,11.18,12.37,12.65,14.32,14.76,16.64,17.20,17.20
1779652510.5783963,-54,3.00,24.02,25.00,26.00,26.02,27.07,27.17,28.28,28.44,29.83,31.05,32.02,33.24,34.48,35.74,37.64,38.33,39.05,38.83,38.64,39.32,38.21,38.05,38.00,38.05,38.12,10.05,11.40,10.44,10.44,10.44,10.20,10.20,10.20,9.06,9.06,9.00,9.06,9.22,9.49,9.85,9.43,10.63,11.31,11.40,12.21,12.53,14.32,14.87,16.49,17.46,19.24,19.10
1779652510.6030147,-53,3.00,21.02,21.93,22.85,23.77,23.41,24.04,25.00,25.71,26.48,27.29,28.28,29.27,30.27,32.14,33.24,34.37,34.53,34.53,34.93,35.17,34.48,33.84,33.62,33.11,33.12,8.06,9.43,9.43,8.94,8.06,8.06,8.06,7.81,7.81,7.07,7.21,7.21,7.62,7.07,7.00,8.00,8.06,8.25,8.94,9.43,10.82,12.04,12.73,14.87,15.62,16.64,17.49
1779652510.6362145,-53,3.00,22.02,23.02,23.85,24.70,24.19,25.06,25.50,27.31,28.79,30.36,31.32,32.02,30.81,32.76,34.21,36.40,39.29,39.85,35.74,32.76,32.25,31.14,32.25,32.98,38.95,10.00,9.00,9.00,8.00,8.00,7.00,7.07,7.28,7.28,6.71,6.40,7.07,6.40,6.71,7.28,7.07,8.06,9.00,9.22,10.44,11.70,12.53,13.89,15.00,16.40,17.69,18.38
1779652510.665209,-53,3.00,22.47,23.32,23.32,24.19,24.60,25.08,26.00,26.57,27.20,28.16,30.08,30.81,31.78,32.98,34.93,35.17,35.44,35.74,36.06,36.40,34.93,34.44,34.48,34.13,33.84,8.60,9.49,8.54,8.54,8.54,7.62,7.62,6.71,5.83,6.40,5.66,5.83,5.39,6.08,7.00,7.07,7.28,8.54,8.94,10.30,10.82,12.21,13.45,15.56,16.28,17.80,17.80
1779652510.6936297,-54,3.00,21.00,22.02,23.02,24.08,24.19,25.32,25.50,26.68,27.89,29.41,29.73,31.02,32.31,34.18,35.11,35.74,36.69,37.64,37.11,36.88,36.67,36.35,36.22,35.06,36.00,9.00,10.00,11.40,10.63,9.90,10.00,10.00,9.22,7.81,7.07,6.40,5.83,5.39,5.00,5.10,5.39,5.83,7.07,7.81,8.60,8.94,10.77,11.40,13.34,14.32,16.12,17.03
1779652510.7295878,-55,3.00,18.79,19.24,19.72,21.10,21.63,22.20,23.43,24.08,25.46,26.17,27.66,29.21,30.00,31.40,32.80,33.60,34.21,34.83,34.71,35.38,34.66,33.94,33.24,34.71,34.06,8.60,11.70,11.70,10.44,9.49,9.49,8.25,8.25,7.07,6.08,5.10,4.12,2.83,2.24,2.00,2.24,2.24,3.16,4.12,6.00,7.00,8.06,9.22,10.44,12.65,13.93,14.32
1779652510.7562473,-54,3.00,20.88,22.80,23.77,23.54,24.52,25.32,26.17,27.07,28.02,29.00,30.02,31.06,33.14,34.13,36.22,37.22,37.12,37.05,38.05,38.05,37.00,37.01,36.06,36.06,35.13,9.06,8.60,8.60,8.06,7.62,6.71,6.32,5.39,4.12,4.00,3.16,2.24,2.24,2.00,3.16,4.47,5.00,5.83,7.21,8.06,8.94,10.30,12.08,13.42,15.23,16.16,17.09
1779652510.7886765,-54,65.07,20.62,21.93,21.93,23.26,22.83,23.32,24.70,25.81,26.40,27.02,28.32,29.73,30.41,31.83,33.24,33.97,33.97,33.97,34.71,34.06,33.42,33.60,33.02,33.29,33.62,8.06,9.49,7.62,7.62,6.71,6.40,5.83,5.83,4.24,2.83,2.24,2.00,2.24,2.24,3.16,3.16,4.12,6.08,7.07,8.25,9.22,10.20,11.40,13.34,14.56,15.81,15.81
1779652510.793966,-54,65.07,20.62,21.59,22.80,23.54,23.54,24.33,25.18,26.08,27.02,28.00,29.00,30.02,31.02,32.06,33.06,34.06,35.01,35.01,35.00,35.01,34.06,34.13,33.24,33.54,33.73,9.06,8.60,8.06,8.06,7.21,5.83,5.83,5.10,4.00,4.12,2.24,2.24,2.24,3.00,3.16,4.47,5.39,6.32,7.62,8.94,9.85,10.77,12.08,13.00,15.23,16.16,16.76
1779652510.8139203,-54,65.07,23.09,24.08,24.19,25.32,25.50,26.68,27.89,28.46,29.73,30.46,31.78,32.20,34.00,35.36,35.85,36.72,37.59,38.47,38.01,37.58,37.16,36.77,37.34,37.00,36.69,9.22,10.30,9.43,8.60,7.81,7.81,6.40,5.66,5.00,3.61,2.24,2.00,1.41,2.00,3.00,4.12,5.10,6.32,7.07,9.22,10.05,11.05,13.04,15.03,16.03,17.00,18.00
1779652510.8531432,-54,3.00,18.03,18.60,20.00,20.62,21.26,21.93,23.35,24.08,24.84,25.61,27.20,28.02,28.84,30.02,31.38,32.76,32.76,32.76,33.29,33.02,33.02,32.80,32.65,31.89,31.83,7.07,13.15,12.17,12.17,11.18,10.44,9.49,8.54,7.62,6.71,5.83,5.00,4.24,2.83,2.24,2.00,2.24,2.83,3.61,5.00,5.83,6.71,8.94,10.30,11.66,13.04,14.42
